subset,n,dimension,comparison,p_value,p_corrected,significant,r_rb,mean_A,mean_B
Full sample (n=30),30,specificity,RAG vs Baseline,0.5162,1.0,False,0.167,3.073,3.013
Full sample (n=30),30,specificity,RAG vs One-shot,0.0024,0.0212,True,-0.684,3.073,3.527
Full sample (n=30),30,specificity,Baseline vs One-shot,0.0011,0.0102,True,-0.684,3.013,3.527
Full sample (n=30),30,helpfulness,RAG vs Baseline,0.0634,0.5704,False,-0.375,2.793,3.033
Full sample (n=30),30,helpfulness,RAG vs One-shot,0.0069,0.062,False,-0.684,2.793,3.16
Full sample (n=30),30,helpfulness,Baseline vs One-shot,0.3445,1.0,False,-0.2,3.033,3.16
Full sample (n=30),30,validity,RAG vs Baseline,0.006,0.054,False,-0.667,2.56,2.913
Full sample (n=30),30,validity,RAG vs One-shot,0.0001,0.0009,True,-0.826,2.56,3.267
Full sample (n=30),30,validity,Baseline vs One-shot,0.0476,0.4283,False,-0.524,2.913,3.267
edit_dist ≤ 3 (n=18),18,specificity,RAG vs Baseline,0.3204,1.0,False,-0.25,3.067,3.189
edit_dist ≤ 3 (n=18),18,specificity,RAG vs One-shot,0.0135,0.1215,False,-0.667,3.067,3.511
edit_dist ≤ 3 (n=18),18,specificity,Baseline vs One-shot,0.0322,0.2899,False,-0.5,3.189,3.511
edit_dist ≤ 3 (n=18),18,helpfulness,RAG vs Baseline,0.0201,0.1808,False,-0.75,2.744,3.144
edit_dist ≤ 3 (n=18),18,helpfulness,RAG vs One-shot,0.0516,0.4643,False,-0.636,2.744,3.078
edit_dist ≤ 3 (n=18),18,helpfulness,Baseline vs One-shot,0.8713,1.0,False,0.2,3.144,3.078
edit_dist ≤ 3 (n=18),18,validity,RAG vs Baseline,0.0416,0.374,False,-0.75,2.589,2.922
edit_dist ≤ 3 (n=18),18,validity,RAG vs One-shot,0.0062,0.0555,False,-0.846,2.589,3.2
edit_dist ≤ 3 (n=18),18,validity,Baseline vs One-shot,0.3104,1.0,False,-0.333,2.922,3.2
edit_dist ≤ 4 (n=28),28,specificity,RAG vs Baseline,0.5162,1.0,False,0.167,3.079,3.014
edit_dist ≤ 4 (n=28),28,specificity,RAG vs One-shot,0.004,0.0356,True,-0.667,3.079,3.5
edit_dist ≤ 4 (n=28),28,specificity,Baseline vs One-shot,0.0018,0.0166,True,-0.667,3.014,3.5
edit_dist ≤ 4 (n=28),28,helpfulness,RAG vs Baseline,0.1023,0.9205,False,-0.333,2.779,3.0
edit_dist ≤ 4 (n=28),28,helpfulness,RAG vs One-shot,0.004,0.0363,True,-0.765,2.779,3.171
edit_dist ≤ 4 (n=28),28,helpfulness,Baseline vs One-shot,0.2291,1.0,False,-0.263,3.0,3.171
edit_dist ≤ 4 (n=28),28,validity,RAG vs Baseline,0.0074,0.0668,False,-0.647,2.536,2.907
edit_dist ≤ 4 (n=28),28,validity,RAG vs One-shot,0.0002,0.0015,True,-0.905,2.536,3.279
edit_dist ≤ 4 (n=28),28,validity,Baseline vs One-shot,0.0517,0.465,False,-0.579,2.907,3.279
